Address,Balance
0xdff6f7f95a126a243bf1e27e55557839becb784a,78361.77
0xdaafe10c2f456027307a5b8ca0b37eff25dcba26,77533.00
0x133bb855ff4781aeab4954fda455d2f1df5a61ca,72480.27
0x1993253bf4f1dfdcd0258a324bff554e6a44a385,71512.66
0xa44d3bbdd1ffeff9471b250fae74b29c1659f226,70009.94
0x258aac3edee1d84e74c698309afadaf9cb31956b,68870.98
0x394c357db3177e33bde63f259f0eb2c04a46827c,67776.67
0x6f2aabdf2dab927e06f0b3480fe0d414a9416964,63345.96
0x8ef4116e6675b5576530bf7f31d84ed238eee9e7,60876.77
0x717f4308208827bc51982df8f8fb28e49cd6d540,60296.01
0x276b1c76aab5fed7fa7ea60eca0f99c7774fcfb9,59670.88
0x6de947950eb32f00773554309c6fa598d0ff6a9b,59275.21
0xa580a81c881869cc4763968754683f764754902a,59113.01
0xcec5df653c8a3a501976e05205655b4a5ed2e6c4,58304.48
0x5d22db0ddc365dbdc0983441e2906d51855a142d,57934.36
0x87fc1313880d579039ac48db8b25428ed5f33c4a,57797.83
0x9337e3b3854c9a75e139c0c74e43b033084db85f,57779.07
0xa47dc3c86a77a41b9377fc5f6f6edd1d8f380f41,57210.11
0x226e9da4b9c4dcbda571b5a01646c55ae0b5a52a,56931.20
0x3d8d008c22db786ba2080e50b3fd54ac46ab22ac,56774.69
0x4f16ca6da7f5be5afb574082108d8631cd586423,55572.99
0x4127143a866bf5d8ad2afb6de8e63164b8ad5bf6,54696.20
0x8565faab405b06936014c8b6bd5ab60376cc051b,53275.43
0x066188948681d38f88441a80e3823dd41155211c,52742.96
0x3bcc4eca0a40358558ca8d1bcd2d1dbde63eb468,52547.22
0xd592fc5e544600df0c21d6b40d7d7e5824c1f668,50011.83
0xc1d90c0a2d1ab8b58702f2faea4701f00ac505d0,49854.75
0xf957Fa14eA72a9ECD7BDC06c5be89A5a34C7aa89,49795.00
0x0D6CB5BCE37Ecb923290bab7c63885Dd35C07526,49795.00
0x96cac601b372b27224643ded02ae83a44c5c1dea,49521.31
0x92388c02a794bf1be086d4f0bd12ccf12b1e1998,47509.10
0xb1028c2d61337589e515d6bdb949ed97935518b2,46994.88
0x24c4f4f54c37ae4f2c505b09a30f229701626921,46472.20
0x199efbfcce43fa755362e2c44c7e01e87cc35831,45478.61
0x8252d3c70f532bcb6a27001f3abb460ed7ebb066,45458.62
0x5b53264d0123e113ab8ad5b1d1a11b890908c980,44982.02
0xaec6c37f8372201598ef9811a07005df840e13f5,44145.78
0x59653fd9713a30c54237a6fd21fd97ba141abbe0,43637.54
0xf4eb288fc8f4424cd8c958fce048a860bc35955a,42577.28
0x959a4bb23084f81bc56eb406438b4a777e5d6148,42120.70
0xdb611d682cb1ad72fcbacd944a8a6e2606a6d158,41549.02
0x098763139957d4bb05541c451b55b40122f04e36,40593.26
0x33b31d89e7e790564445edc9f08e584c3489bac9,40587.40
0x28bc398d2fcab74212b766b15e26ebd986b5fffa,40000.00
0x202561bfbd32df6ed542070caeeb58497b48c3bf,38943.23
0x9e1b2c22ae319972b68f845e215cb3c8aa59cb07,37311.60
0xccf8c2d878ccd34c45c415d32d36c9996e84f385,36435.81
0x5d8ea973adceb7fda3dd6ba2f871a52bc0792317,35589.67
